# delta RV from circular [km/s], phase [degr]
-1.98203431388281, -1.8742658716149663
-3.3846929016604967, 0.39426304742715956
-4.970666957643603, 6.678209464880638
-6.648234561641111, 14.306693967149613
-8.172782531114207, 15.936314563181611
-9.392895883746156, 22.147473956494707
-9.576468096304808, 28.81557411246689
-9.242636251018952, 44.66494861903635
-8.024641039301141, 60.3384211505998
-6.806710013671637, 76.67506434655354
-5.923830369005822, 89.76257565935163
-5.040950724340007, 102.85008697214971
-3.914292316283369, 117.21541493096788
-2.6652952239131693, 127.57745656206481
-1.904304960942767, 140.0260595518527
-0.5339961616719222, 156.9955454854715
0.8664800991033204, 177.27481915569626
2.4499508976424416, 196.85452864946052
3.97167467923002, 224.40441728659732
4.518283407254312, 246.84303933965356
4.484906641334554, 276.6917848225576
4.301334428775906, 283.3598849785298
4.361155863078231, 295.2848257668634
3.597533970487234, 310.02622001707357
2.345520131966591, 330.8331996123161
0.9117312913599065, 339.7395007606052
-0.7968381932899895, 352.6794161633408
-2.0778641437254883, 358.2395360629538
